header,program_time,temp,height1,height2,height3,air_pressure1,air_pressure2
243,3283905,24.777297973632812,302,302,302,100500.8046875,100498.2734375
243,3284925,24.745254516601562,302,302,302,100499.6875,100499.34375
243,3285947,24.745254516601562,302,302,302,100502.8203125,100501.5703125
243,3287841,24.689178466796875,302,302,302,100501.40625,100500.953125
243,3288860,24.665145874023438,302,302,302,100502.2578125,100500.46875
243,3289886,24.649124145507812,302,302,302,100500.2890625,100500.546875
243,3290904,24.598388671875,302,302,302,100502.9609375,100502.34375
243,3291921,24.617080688476562,302,302,302,100500.4453125,100500.109375
243,3292939,24.638442993164062,302,302,302,100501.8984375,100501.7265625
243,3294929,24.683837890625,302,302,302,100500.8671875,100500.53125
243,3296915,24.710540771484375,302,302,302,100501.2109375,100498.859375
243,3298905,24.81201171875,302,302,302,100500.7578125,100497.375
243,3299921,24.841384887695312,302,302,302,100500.7890625,100501.6171875
243,3301906,24.9188232421875,302,302,302,100498.9296875,100501.40625
243,3302925,24.966888427734375,302,302,302,100500.625,100498.890625
243,3304924,24.996261596679688,302,302,302,100500.65625,100501.4921875
243,3306932,25.038986206054688,302,302,302,100499.6328125,100500.03125
243,3308735,25.071029663085938,302,302,302,100499.359375,100497.6640625
243,3309857,25.071029663085938,302,302,302,100497.8984375,100497.2265625
243,3310877,25.111083984375,302,302,302,100498.765625,100499.3828125
243,3311904,25.148468017578125,302,302,302,100498.5078125,100499.625
243,3312921,25.159149169921875,302,302,302,100497.6171875,100500.109375
243,3313941,25.1751708984375,302,302,302,100498.09375,100499.84375
243,3315792,25.188522338867188,302,302,302,100499.9453125,100498.59375
243,3316774,25.183181762695312,302,302,302,100498.765625,100496.625
243,3317891,25.220565795898438,302,302,302,100497.640625,100496.21875
243,3318906,25.212554931640625,302,302,302,100496.3984375,100497.546875
243,3319922,25.20721435546875,302,302,306,100497.078125,100494.6328125
243,3321911,25.169830322265625,302,302,302,100498.5078125,100497.0625
243,3322930,25.127105712890625,306,306,306,100497.3515625,100496.9921875
243,3324930,25.052337646484375,306,306,306,100495.6796875,100498.5859375
243,3326935,24.99359130859375,306,302,302,100498.8359375,100498.0546875
243,3328923,24.99359130859375,302,302,302,100499.53125,100499.3984375
243,3330931,25.055007934570312,302,306,306,100498.4375,100499.4140625
243,3332932,25.097732543945312,306,306,306,100497.25,100499.0859375
243,3334935,25.097732543945312,306,306,306,100499.8984375,100496.8671875
243,3336939,25.025634765625,306,306,306,100499.5078125,100499.7578125
243,3338929,24.990921020507812,306,306,306,100498.625,100501.46875
243,3339950,25.0042724609375,306,306,306,100499.140625,100498.796875
243,3341818,24.996261596679688,306,306,306,100498.9453125,100500.375
243,3342871,25.006942749023438,306,306,306,100500.2578125,100499.1328125
243,3343887,25.017623901367188,306,306,306,100499.25,100498.765625
243,3344906,25.006942749023438,306,306,306,100500.2578125,100501.484375
243,3345925,24.977569580078125,306,306,306,100501.0234375,100497.8203125
243,3347918,24.945526123046875,306,306,306,100501.5234375,100499.765625
243,3348938,24.95086669921875,306,306,306,100501.1796875,100500.578125
243,3350936,24.95086669921875,306,306,306,100500.359375,100501.046875
243,3352731,24.956207275390625,306,306,306,100500.15625,100500.4609375
243,3353847,24.924163818359375,306,306,306,100500.890625,100498.0625
243,3354863,24.913482666015625,306,306,306,100500.3671875,100497.8359375
243,3355888,24.942855834960938,306,301,301,100498.9375,100499.109375
243,3356908,24.98291015625,301,301,301,100498.2109375,100498.9375
243,3358908,25.060348510742188,301,302,302,100498.34375,100499.4375
243,3359927,25.10040283203125,302,302,302,100499.3046875,100499.8515625
243,3360940,25.156478881835938,302,301,301,100499.703125,100498.078125
243,3362927,25.20721435546875,301,301,301,100499.453125,100496.4140625
243,3364916,25.287322998046875,301,301,301,100498.6328125,100499.2421875
243,3366900,25.3460693359375,301,301,301,100497.953125,100497.0625
243,3367917,25.340728759765625,301,301,301,100497.265625,100495.625
243,3368934,25.332717895507812,301,301,301,100496.8359375,100496.8515625
243,3370917,25.428848266601562,301,301,301,100497.203125,100497.90625
243,3371937,25.476913452148438,301,301,301,100497.6484375,100495.8984375
243,3373920,25.532989501953125,301,301,302,100497.484375,100495.71875
243,3375916,25.594406127929688,302,301,301,100496.0078125,100497.6015625
243,3376936,25.597076416015625,301,301,301,100496.6953125,100496.171875
243,3378936,25.671844482421875,301,301,301,100496.3671875,100497.78125
243,3380831,25.735931396484375,301,301,301,100496.8984375,100497.4296875
243,3381852,25.792007446289062,301,301,301,100497.8828125,100497.109375
243,3382870,25.829391479492188,301,301,301,100497.6328125,100495.828125
243,3383893,25.86944580078125,301,301,301,100498.5859375,100496.5
243,3384911,25.909500122070312,301,301,301,100496.4765625,100497.78125
243,3385927,25.960235595703125,301,301,301,100495.7890625,100496.0625
243,3387924,26.0296630859375,301,301,301,100495.234375,100495.5859375
243,3388940,26.032333374023438,301,301,301,100496.2734375,100496.21875
243,3390920,26.075057983398438,301,302,302,100495.484375,100495.796875
243,3392917,26.064376831054688,301,301,301,100493.84375,100494.890625
243,3393936,26.069717407226562,301,301,301,100495.8671875,100495.28125
243,3395923,26.136474609375,301,301,301,100497.34375,100494.3125
243,3396941,26.173858642578125,301,301,301,100495.140625,100494.4296875
243,3398927,26.197891235351562,301,301,301,100495.984375,100495.65625
243,3400915,26.269989013671875,301,301,301,100495.7109375,100495.8671875
243,3402905,26.29669189453125,301,301,301,100494.8515625,100494.390625
243,3403924,26.326065063476562,301,301,301,100497.2265625,100494.59375
243,3405922,26.3714599609375,302,302,302,100495.140625,100495.3828125
243,3406939,26.390151977539062,302,302,302,100497.2890625,100494.671875
243,3408936,26.440887451171875,302,302,302,100496.5,100493.984375
243,3410928,26.40350341796875,302,302,302,100495.5,100496.0
243,3412920,26.40350341796875,302,301,301,100495.234375,100495.125
243,3414907,26.472930908203125,301,302,302,100495.5234375,100495.46875
243,3415922,26.502304077148438,302,301,301,100496.359375,100494.5859375
243,3416940,26.515655517578125,302,302,302,100494.953125,100492.9765625
243,3418919,26.537017822265625,302,301,301,100494.1484375,100494.921875
243,3420909,26.57440185546875,301,301,301,100494.671875,100497.2734375
243,3421924,26.59576416015625,301,301,301,100494.421875,100496.1875
243,3422939,26.625137329101562,301,301,301,100496.21875,100495.9140625
243,3424921,26.635818481445312,301,301,301,100495.6171875,100497.015625
243,3426905,26.678543090820312,301,302,302,100493.671875,100494.328125
243,3427918,26.705245971679688,302,302,302,100494.421875,100494.7265625
243,3429908,26.734619140625,302,302,302,100497.46875,100493.6796875
243,3430925,26.7132568359375,302,302,302,100493.6953125,100494.6328125
243,3431941,26.726608276367188,302,302,302,100496.2734375,100495.953125
243,3432958,26.734619140625,302,302,302,100494.359375,100493.1015625
243,3434758,26.715927124023438,302,302,302,100496.203125,100495.0859375
243,3435864,26.705245971679688,302,302,302,100495.4453125,100496.484375
243,3436878,26.699905395507812,302,302,302,100494.7109375,100494.828125
243,3437898,26.705245971679688,302,302,302,100495.6796875,100493.5078125
243,3438918,26.699905395507812,302,302,302,100495.1484375,100496.0859375
243,3439931,26.694564819335938,302,302,302,100495.984375,100495.609375
243,3441915,26.65985107421875,302,302,302,100497.5703125,100497.46875
243,3442933,26.6278076171875,302,302,302,100494.9453125,100496.609375
243,3444932,26.609115600585938,302,302,302,100498.7578125,100496.828125
243,3445951,26.587753295898438,302,302,302,100497.921875,100496.34375
243,3447839,26.5850830078125,302,302,302,100496.1796875,100495.4765625
243,3448960,26.558380126953125,301,302,302,100497.484375,100498.3125
243,3450959,26.558380126953125,302,302,302,100496.734375,100496.796875
243,3452854,26.55303955078125,302,302,301,100496.3359375,100494.4140625
243,3453869,26.545028686523438,301,301,301,100499.21875,100496.671875
243,3454883,26.571731567382812,301,302,302,100497.9296875,100497.0546875
243,3455899,26.582412719726562,302,302,302,100496.4453125,100498.3046875
243,3456912,26.57440185546875,302,302,302,100499.046875,100498.484375
243,3457925,26.603775024414062,302,302,302,100497.1171875,100497.9765625
243,3458941,26.6064453125,302,302,302,100496.8515625,100497.4765625
243,3460925,26.635818481445312,302,302,302,100496.9921875,100496.71875
243,3461936,26.630477905273438,302,302,302,100497.5859375,100498.5390625
243,3463923,26.689224243164062,302,302,302,100497.828125,100497.4453125
243,3464936,26.697235107421875,307,304,303,100497.34375,100497.734375
243,3466928,26.769332885742188,307,303,303,100497.6796875,100497.5390625
243,3468913,26.825408935546875,302,303,302,100498.5625,100498.2265625
243,3469926,26.878814697265625,302,302,301,100499.25,100498.9453125
243,3470941,26.929550170898438,301,302,302,100498.4140625,100497.4765625
243,3472929,26.956253051757812,302,301,300,100498.5859375,100498.1796875
243,3474924,27.049713134765625,301,303,302,100498.7734375,100499.2265625
243,3476920,27.135162353515625,302,302,302,100498.5625,100498.5
243,3478916,27.21527099609375,302,302,303,100497.171875,100498.375
243,3479937,27.212600708007812,303,302,302,100497.5,100497.5078125
243,3481920,27.271347045898438,302,302,301,100498.40625,100499.1953125
243,3482937,27.32208251953125,302,303,303,100499.0390625,100499.6015625
243,3483953,27.348785400390625,303,301,301,100497.28125,100498.5234375
243,3485853,27.404861450195312,302,301,301,100499.96875,100497.78125
243,3486866,27.434234619140625,302,302,303,100499.5546875,100499.3515625
243,3487881,27.474288940429688,304,302,302,100498.5625,100499.46875
243,3488898,27.527694702148438,302,303,303,100498.4921875,100498.7734375
243,3489916,27.581100463867188,303,303,303,100498.4296875,100499.859375
243,3490936,27.591781616210938,303,300,301,100498.9921875,100500.2109375
243,3492922,27.605133056640625,301,302,301,100500.015625,100499.90625
243,3493940,27.615814208984375,301,301,301,100501.0703125,100499.078125
243,3495925,27.687911987304688,302,303,303,100499.484375,100501.375
243,3496944,27.751998901367188,303,301,301,100499.0078125,100498.4765625
243,3498733,27.826766967773438,300,303,303,100497.96875,100499.421875
243,3499850,27.840118408203125,303,302,302,100499.8203125,100500.296875
243,3500872,27.880172729492188,301,302,303,100500.8125,100499.1796875
243,3501888,27.92022705078125,303,300,301,100498.3984375,100497.4765625
243,3502908,27.957611083984375,301,303,302,100499.953125,100499.546875
243,3503924,27.965621948242188,302,302,302,100499.546875,100500.8671875
243,3504935,27.944259643554688,302,303,304,100498.7421875,100499.546875
243,3506942,28.016357421875,304,302,302,100500.8046875,100499.6171875
243,3508942,28.115158081054688,302,301,301,100499.1171875,100499.671875
243,3510933,28.192596435546875,301,308,302,100500.4921875,100498.671875
243,3512918,28.243331909179688,302,300,304,100497.3125,100499.2578125
