header,program_time,unixEpoch,latitude,longitude,altitude,groundSpeed,heading
241,327637,1684527468,35.1242422,138.6309158,16765,32,0
241,329612,1684527469,35.1242423,138.630916,16773,4,0
241,330618,1684527470,35.1242425,138.6309161,16774,7,0
241,331628,1684527471,35.1242424,138.6309161,16761,16,0
241,332629,1684527473,35.1242426,138.630916,16780,2,0
241,334586,1684527474,35.1242427,138.6309159,16758,3,0
241,335587,1684527475,35.1242426,138.6309159,16731,28,0
241,336596,1684527476,35.1242425,138.6309159,16673,15,0
241,337604,1684527477,35.1242426,138.630916,16627,16,0
241,338631,1684527478,35.1242425,138.6309165,16660,20,0
241,339652,1684527480,35.1242426,138.6309172,16671,32,0
241,341626,1684527482,35.124243,138.6309174,16613,15,0
241,343597,1684527483,35.1242436,138.6309172,16670,14,0
241,344609,1684527484,35.1242436,138.6309166,16648,32,0
241,345618,1684527485,35.124243,138.6309161,16565,59,0
241,346624,1684527486,35.124243,138.6309161,16604,32,0
241,347640,1684527487,35.124244,138.630916,16604,20,0
241,348657,1684527489,35.1242448,138.6309164,16547,5,0
241,350631,1684527491,35.124242,138.6309169,16571,66,18843380
241,352597,1684527492,35.1242414,138.6309158,16239,19,18843380
241,353604,1684527493,35.1242408,138.6309159,16257,6,18843380
241,354608,1684527494,35.1242407,138.6309158,16213,17,18843380
241,355609,1684527495,35.1242412,138.6309152,16083,29,18843380
241,356611,1684527496,35.1242419,138.6309149,16051,2,18843380
241,357614,1684527497,35.1242427,138.6309143,15946,8,18843380
241,358612,1684527498,35.1242435,138.630913,15742,5,18843380
241,359612,1684527499,35.1242442,138.6309127,15713,19,18843380
241,360609,1684527500,35.1242443,138.6309124,15654,17,18843380
241,361613,1684527501,35.1242438,138.6309123,15570,5,18843380
241,362621,1684527502,35.1242435,138.6309121,15536,11,18843380
241,363625,1684527503,35.1242434,138.630912,15513,16,18843380
241,364626,1684527504,35.1242434,138.6309117,15481,4,18843380
241,365632,1684527506,35.1242436,138.6309112,15429,24,18843380
241,367586,1684527507,35.1242435,138.6309111,15471,34,18843380
241,368585,1684527508,35.1242433,138.6309107,15480,61,18843380
241,369592,1684527509,35.1242431,138.6309103,15534,57,18843380
241,370607,1684527510,35.124243,138.6309103,15560,25,18843380
241,371616,1684527511,35.1242424,138.6309102,15536,13,18843380
241,372626,1684527512,35.1242427,138.63091,15536,15,18843380
241,373631,1684527513,35.1242428,138.6309098,15539,9,18843380
241,374636,1684527514,35.1242427,138.6309097,15528,20,18843380
